cities,longitude,latitude
Guna,77°19′E,24°39′N
Panna,80°10′E,24°16′N
Bid,75°46′E,18°59′N
Karli,73°28′14″E,18°47′07″N
Mon,95°06′E,26°45′N
Faridkot,74°46′E,30°40′N
Amer,75°52′E,26°59′N
Bharatpur,77°29′E,27°13′N
Tonk,75°47′E,26°10′N
Mangan,88°32′E,27°31′N
Salem,78°09′E,11°39′N
Lalitpur,78°25′E,24°41′N
